year,region,country,population,gdp_per_capita,housing_price,income,urban_population_pct,pop_growth_rate,gdp_growth_rate,housing_price_growth_rate,income_growth_rate,urban_growth_rate
2000,Region_A,India,1053050000,442.8,450000,18200,27.7,1.8,3.8,5.2,2.1,1.2
2001,Region_A,India,1072090000,454.6,473400,19110,28.1,1.8,2.6,5.2,2.1,1.2
2002,Region_A,India,1091520000,480,497974,20065,28.5,1.8,5.6,5.2,2.1,1.2
2003,Region_A,India,1111790000,568.1,524079,21068,29,1.8,18.4,5.2,2.1,1.2
2004,Region_A,India,1132420000,653.9,551763,22121,29.4,1.8,15.1,5.2,2.1,1.2
2005,Region_A,India,1153760000,795.8,580815,23227,29.8,1.9,21.7,5.2,2.1,1.2
2006,Region_A,India,1175280000,941.5,611577,24388,30.3,1.9,18.3,5.2,2.1,1.2
2007,Region_A,India,1196580000,1198.9,644338,25607,30.7,1.8,27.3,5.2,2.1,1.2
2008,Region_A,India,1217730000,1198.5,677623,26887,31.2,1.8,-0.03,5.2,2.1,1.2
2009,Region_A,India,1238690000,1365.4,714141,28231,31.6,1.7,13.9,5.2,2.1,1.2
2010,Region_A,India,1259490000,1708.5,751963,29643,32.1,1.7,25.1,5.2,2.1,1.2
2011,Region_A,India,1279930000,1820.7,792565,31125,32.5,1.6,6.6,5.2,2.1,1.2
2012,Region_A,India,1299700000,1827.6,834777,32681,33,1.5,0.4,5.2,2.1,1.2
2013,Region_A,India,1319090000,1856.7,879149,34315,33.4,1.5,1.6,5.2,2.1,1.2
2014,Region_A,India,1338680000,2035.4,925727,36031,33.9,1.5,9.6,5.2,2.1,1.2
2015,Region_A,India,1357880000,2103.6,975414,37832,34.3,1.4,3.4,5.2,2.1,1.2
2016,Region_A,India,1376340000,2294.8,1027936,39724,34.8,1.4,9.1,5.2,2.1,1.2
2017,Region_A,India,1393410000,2650.7,1082411,41710,35.2,1.2,15.5,5.2,2.1,1.2
2018,Region_A,India,1408820000,2702,1139784,43795,35.7,1.1,1.9,5.2,2.1,1.2
2019,Region_A,India,1421810000,2870.5,1199890,45985,36.1,0.9,6.2,5.2,2.1,1.2
2020,Region_A,India,1432180000,1900.7,1253895,47230,36.6,0.7,-33.8,5.2,2.1,1.2
2021,Region_A,India,1442180000,2277.4,1354126,49591,37,0.7,19.8,5.2,2.1,1.2
2022,Region_A,India,1452180000,2389.6,1463096,52071,37.5,0.7,4.9,5.2,2.1,1.2
2023,Region_A,India,1462180000,2600,1570000,54000,38,0.7,7.3,5.2,2.1,1.2
2000,Region_B,USA,282160000,36450,1200000,41990,79.1,1.1,4.1,7.5,3.2,1.1
2001,Region_B,USA,285000000,37270,1260000,43909,79.2,1,2.3,5,3.2,1
2002,Region_B,USA,287600000,38160,1323000,44787,79.3,0.9,2.4,5,3.2,1
2003,Region_B,USA,290100000,40680,1389150,45683,79.4,0.9,6.6,5,3.2,1
2004,Region_B,USA,292800000,44320,1500000,46596,79.5,0.9,8.9,8,3.2,1
2005,Region_B,USA,295500000,47800,1625000,47528,79.6,0.9,7.9,8.3,3.2,0.9
2006,Region_B,USA,298400000,50760,1680000,48478,79.7,1,6.2,3.4,3.2,0.9
2007,Region_B,USA,301200000,52140,1620000,49447,79.8,0.9,2.7,-3.6,3.2,0.9
2008,Region_B,USA,304100000,48390,1450000,49321,79.9,1,-7.2,-10.5,3.2,0.8
2009,Region_B,USA,306800000,48300,1310000,49279,80,0.9,-0.2,-9.7,3.2,0.8
2010,Region_B,USA,309300000,49790,1350000,49984,80.1,0.8,3.1,3.1,3.2,0.8
2011,Region_B,USA,311700000,51570,1380000,50875,80.2,0.8,3.6,2.2,3.2,0.8
2012,Region_B,USA,314100000,53060,1450000,51916,80.3,0.8,2.9,5.1,3.2,0.7
2013,Region_B,USA,316500000,55940,1540000,52886,80.4,0.8,5.4,6.2,3.2,0.7
2014,Region_B,USA,318900000,58460,1640000,54523,80.5,0.8,4.5,6.5,3.2,0.7
2015,Region_B,USA,321400000,60060,1740000,56516,80.6,0.8,2.7,6.1,3.2,0.7
2016,Region_B,USA,323400000,62790,1850000,57617,80.7,0.6,4.5,6.3,3.2,0.6
2017,Region_B,USA,325700000,65280,1980000,59039,80.8,0.7,4,7,3.2,0.6
2018,Region_B,USA,327200000,63280,2100000,60258,80.9,0.5,-3.1,6.1,3.2,0.6
2019,Region_B,USA,328200000,65300,2210000,61937,81,0.3,3.2,5.2,3.2,0.5
2020,Region_B,USA,329500000,63530,2340000,63179,81.1,0.4,-2.7,5.9,3.2,0.5
2021,Region_B,USA,331500000,70250,2620000,67521,81.2,0.6,10.6,12,3.2,0.5
2022,Region_B,USA,333300000,76370,2840000,71072,81.3,0.5,8.7,8.4,3.2,0.5
2023,Region_B,USA,335000000,80030,2960000,73000,81.4,0.5,4.8,4.2,3.2,0.4
2000,Region_C,Germany,81900000,23380,980000,28100,73.1,0.2,2.9,3.2,2.8,0.4
2001,Region_C,Germany,82000000,23670,1009400,28885,73.2,0.1,1.2,3.2,2.8,0.4
2002,Region_C,Germany,82200000,25370,1040485,29702,73.3,0.2,7.2,3.1,2.8,0.4
2003,Region_C,Germany,82500000,28190,1072820,30549,73.4,0.4,11.1,3.1,2.8,0.4
2004,Region_C,Germany,82700000,30860,1105425,31425,73.5,0.2,9.5,3,2.8,0.3
2005,Region_C,Germany,82800000,33990,1138505,32332,73.6,0.1,10.2,3,2.8,0.3
2006,Region_C,Germany,83000000,36940,1173060,33269,73.7,0.2,8.7,3,2.8,0.3
2007,Region_C,Germany,83200000,41880,1208352,34237,73.8,0.2,13.4,3,2.8,0.3
2008,Region_C,Germany,83200000,45180,1244602,35234,73.9,0,7.9,3,2.8,0.3
2009,Region_C,Germany,81900000,40420,1281742,36262,74,-1.6,-10.5,3,2.8,0.3
2010,Region_C,Germany,81800000,41510,1320094,37319,74.1,-0.1,2.7,3,2.8,0.3
2011,Region_C,Germany,82000000,46400,1389599,38408,74.2,0.2,11.8,5.3,2.8,0.3
2012,Region_C,Germany,82700000,44970,1472375,39529,74.3,0.9,-3.1,5.9,2.8,0.3
2013,Region_C,Germany,83000000,46100,1561277,40683,74.4,0.4,2.5,6,2.8,0.3
2014,Region_C,Germany,83200000,47920,1655954,41870,74.5,0.2,3.9,6.1,2.8,0.3
2015,Region_C,Germany,82100000,41040,1755911,43091,74.6,-1.3,-14.3,6.1,2.8,0.3
2016,Region_C,Germany,82800000,42190,1862066,44348,74.7,0.9,2.8,6,2.8,0.2
2017,Region_C,Germany,83800000,44730,1974789,41640,74.8,1.2,5.9,6.1,2.8,0.2
2018,Region_C,Germany,83500000,47990,2093676,42891,74.9,-0.4,7.3,6,2.8,0.2
2019,Region_C,Germany,83700000,46470,2219277,44158,75,0.2,-3.2,6,2.8,0.2
2020,Region_C,Germany,83200000,45680,2352433,45443,75.1,-0.6,-1.7,6,2.8,0.2
2021,Region_C,Germany,83200000,51210,2493579,46746,75.2,0,12.1,6,2.8,0.2
2022,Region_C,Germany,84400000,48630,2643394,48069,75.3,1.4,-5.1,6,2.8,0.2
2023,Region_C,Germany,84700000,50200,2800000,49400,75.4,0.4,3.2,5.9,2.8,0.2
2000,Region_D,Brazil,174500000,3749,320000,8900,81.2,1.4,4.4,5.5,3.5,1.5
2001,Region_D,Brazil,177600000,3165,337600,9215,81.5,1.8,-15.6,5.5,3.5,1.4
2002,Region_D,Brazil,180700000,2830,356108,9538,81.7,1.7,-10.6,5.5,3.5,1.4
2003,Region_D,Brazil,183800000,3090,375694,9872,82,1.7,9.2,5.5,3.5,1.4
2004,Region_D,Brazil,186700000,3640,396357,10218,82.3,1.6,17.8,5.5,3.5,1.4
2005,Region_D,Brazil,189600000,4790,418157,10576,82.5,1.6,31.6,5.5,3.5,1.4
2006,Region_D,Brazil,192500000,5880,441055,10947,82.8,1.5,22.8,5.5,3.5,1.3
2007,Region_D,Brazil,195200000,7350,465213,11331,83.1,1.4,25,5.5,3.5,1.3
2008,Region_D,Brazil,197900000,8830,490750,11728,83.3,1.4,20.1,5.5,3.5,1.3
2009,Region_D,Brazil,200400000,8600,517741,12139,83.6,1.3,-2.6,5.5,3.5,1.3
2010,Region_D,Brazil,203000000,11290,546367,12564,83.9,1.3,31.3,5.5,3.5,1.3
2011,Region_D,Brazil,205500000,13040,576618,13004,84.2,1.2,15.5,5.5,3.5,1.3
2012,Region_D,Brazil,207800000,12320,608532,13459,84.4,1.1,-5.5,5.5,3.5,1.2
2013,Region_D,Brazil,209900000,12240,642201,13930,84.7,1,-0.6,5.5,3.5,1.2
2014,Region_D,Brazil,211800000,12100,677522,14417,85,0.9,-1.1,5.5,3.5,1.2
2015,Region_D,Brazil,213600000,8810,714546,14921,85.2,0.8,-27.2,5.5,3.5,1.2
2016,Region_D,Brazil,215400000,8780,753347,15443,85.5,0.8,-0.3,5.5,3.5,1.2
2017,Region_D,Brazil,217200000,9900,794781,15982,85.8,0.8,12.7,5.5,3.5,1.2
2018,Region_D,Brazil,218900000,9000,838194,16540,86,0.8,-9.1,5.5,3.5,1.1
2019,Region_D,Brazil,220600000,8920,884094,17117,86.3,0.8,-0.9,5.5,3.5,1.1
2020,Region_D,Brazil,213200000,7040,932419,17714,86.6,0.7,-21.1,5.5,3.5,1.1
2021,Region_D,Brazil,214300000,7730,983202,18331,86.8,0.5,9.8,5.5,3.5,1.1
2022,Region_D,Brazil,215300000,8920,1036878,18969,87.1,0.5,15.4,5.5,3.5,1.1
2023,Region_D,Brazil,216400000,10400,1093606,19629,87.4,0.5,16.6,5.5,3.5,1.1
